codigoEgger,nombreEgger,categoria,anchoCinta,codigoDiac,descripcionDiac,precio
F205 ST9,Pietra Grigia Antracita,egger-reproducciones-materia,23,1381017,C PVC F205ST9 P Grigia antr 23x0.40mm1381017,1122.25
F416 ST10,Textil Beige,egger-reproducciones-materia,23,1381098,C PVC F416ST10 Textil beige 23x2mm 1381098,2921.73
F417 ST10,Textil Gris,egger-reproducciones-materia,23,1381140,C PVC F417ST10 Textil Gris 23x2mm 1381140,2921.73
F424 ST10,Lino Topo,egger-reproducciones-materia,23,1184917,C PVC F424ST10 Lino Topo 23x2mm 1786326,3408.53
F433 ST10,Lino Antracita,egger-reproducciones-materia,23,1196153,C PVC F433ST10 Lino antr 23x2mm 1196153,3408.53
F433 ST10,Lino Antracita,egger-reproducciones-materia,43,1381120,C PVC F433ST10 Lino antr 43x2mm 1381120,13127.1
F462 ST20,Metallic Azul Indigo,egger-reproducciones-materia,23,1381039,C PVC F462ST20 Metalic azul indigo 23x0.40mm,1122.25
F463 ST20,Metallic Gris Platino,egger-reproducciones-materia,23,1381082,C PVC F463ST20 Metalic gris pl 23x2mm 1381082,3408.53
F509 ST9,Aluminio,egger-reproducciones-materia,23,1380731,C PVC F509ST9 Aluminio 23x0.40mm  1380731,564.94
F637 ST10,Chromix Blanco,egger-reproducciones-materia,23,1380758,C PVC F637ST10 Chromix bco 23x2mm 1380758,3097.9
F638 ST10,Chromix Plata,egger-reproducciones-materia,23,1380674,C PVC F638ST10 Chromix plata 23x2mm 1380674,3097.9
F642 ST10,Chromix Bronce,egger-reproducciones-materia,23,1380659,C PVC F642ST10 Chromix bronce 23x0.40mm 1380659,1122.25
F784 ST20,Bronce cepillado,egger-reproducciones-materia,23,1380700,C PVC F784ST20 Bronce cepillado 23x0.40mm 1380700,1122.25
F823 ST10,Concreto Cefalu Blanco,egger-reproducciones-materia,23,1380834,C PVC F823ST10 Hormigon cl.cefalu bco23x0.40mm,785.58
H1122 ST22,Whitewood,egger-reproducciones-madera,23,1196298,C PVC H1122ST22 Whitewood 23x0.40mm 1196298,714.07
H1123 ST22,Graphitewood,egger-reproducciones-madera,23,1195855,C PVC H1123ST22 Graphitewood 23x0.40mm 1195855,1020.09
H1123 ST22,Graphitewood,egger-reproducciones-madera,43,1381973,C PVC H1123ST22 Graphitewood 43x2mm 1381973,8785.12
H1137 ST12,Roble Sorano Negro-Marron,egger-reproducciones-madera,23,1197470,C PVC H1137ST12 R Sorano n/m 23x2mm 1197470,3408.53
H1146 ST10,Roble Bardolino Gris,egger-reproducciones-madera,23,1425327,C PVC H1146ST10 R Bardolino gris 23x0.40mm1425327,961.44
H1180 ST37,Roble Halifax Natural,egger-reproducciones-madera,23,9002201194050,C PVC H1180ST37 R Halifax nat.23X0.80mm 1786347,1956.29
H1180 ST37,Roble Halifax Natural,egger-reproducciones-madera,43,9002201305055,C PVC H1180ST37 R Halifax nat.43X0.80m  1786360,5546.66
H1181 ST37,Roble Halifax Tabaco,egger-reproducciones-madera,23,1194005,C PVC H1181ST37 R Halifax tab 23x08mm 1194005,1957.11
H1181 ST37,Roble Halifax Tabaco,egger-reproducciones-madera,43,9002201194004,C PVC H1181ST37 R Halifax tab.43X0.80mm 1194004,5546.66
H1199 ST12,Roble Termo Negro,egger-reproducciones-madera,23,1184919,C PVC H1199ST12 R termo negro 23x2mm 1184919,2641.04
H1251 ST19,Robinia Branson Marron Natural,egger-reproducciones-madera,23,1381688,C PVC H1251ST19 Rob Brans marr nat 23x0.40mm,1122.25
H1251 ST19,Robinia Branson Marron Natural,egger-reproducciones-madera,43,1381676,C PVC H1251ST19 Rob Brans coñac 43x2mm 1381676,10236.7
H1252 ST19,Robinia Branson Gris Beige,egger-reproducciones-madera,23,1381672,C PVC H1252ST19 Rob.Brans gr beig 23x0.40mm,1122.25
H1253 ST19,Robinia Branson Marron Trufa,egger-reproducciones-madera,23,1381714,C PVC H1253ST19 Rob.Brans mar trufa23x0.40mm,1122.25
H1312 ST10,Roble Whiteriver Beige Arena,egger-reproducciones-madera,23,1381630,C PVC H1312ST10 R Whiteriver bl arena23x2mm1381630,3408.53
H1313 ST10,Roble Whiteriver Gris Marron,egger-reproducciones-madera,23,1381614,C PVC H1313ST10 R Whiteriver bl gris 23x2mm1381614,3408.53
H1387 ST10,Roble Denver Grafito,egger-reproducciones-madera,23,1195853,C PVC H1387ST10 R Denver grafito 23x0.40mm 1195853,961.44
H1399 ST10,Roble Denver Marron Trufa,egger-reproducciones-madera,23,1193836,C PVC H1399ST10 R Denver rebeco 23x0.40mm 1786622,961.44
H1401 ST22,Pino Cascina,egger-reproducciones-madera,23,1118024,C PVC H1401ST22 Pino Cascina 23x2mm 1118024,3097.9
H1401 ST22,Pino Cascina,egger-reproducciones-madera,43,1380503,C PVC H1401ST22 Pino Cascina 43x2mm 1380503,8785.12
H1424 ST22,Fineline Crema,egger-reproducciones-madera,23,1193819,C PVC H1424ST22 Finel crema 23x0.40mm 1193819,564.94
H1424 ST22,Fineline Crema,egger-reproducciones-madera,43,1380499,C PVC H1424ST22 Finel crema 43x2mm 1380499,10236.7
H1710 ST10,Castano Kentucky Arena,egger-reproducciones-madera,23,1380445,C PVC H1710ST10 Castaño Kent arena 23x2mm 1380445,3408.53
H1710 ST10,Castano Kentucky Arena,egger-reproducciones-madera,43,1380435,C PVC H1710ST10 Castaño kent arena 43x2mm 1380435,12996.3
H1714 ST19,Nogal Lincoln,egger-reproducciones-madera,23,1380428,C PVC H1714ST19 N Lincoln 23x0.40mm 1707806,1122.25
H3012 ST22,Coco Bolo,egger-reproducciones-madera,23,973278,C PVC H3012ST22 Coco bolo 23x2mm 973278,2921.73
H3012 ST22,Coco Bolo,egger-reproducciones-madera,43,1380617,C PVC H3012ST22 Coco bolo 43x2mm 1380617,10236.7
H3131 ST12,Roble Davos Natural,egger-reproducciones-madera,23,1194368,C PVC H3131ST12 R Davos nat 23x2mm 1194368,3097.9
H3133 ST12,Roble Davos Trufa Marron,egger-reproducciones-madera,23,1190962,C PVC H3133ST12 R Davos rebeco 23x2mm 1190962,3097.9
H3158 ST19,Roble Vicenza Gris,egger-reproducciones-madera,23,1380559,C PVC H3158ST19 R Vicenza gris 23x2mm 1380559,3408.53
H3170 ST12,Roble Kendal Natural,egger-reproducciones-madera,23,1190961,C PVC H3170ST12 R Kendal nat 23x2mm 1190961,2641.04
H3190 ST19,Fineline Metallic Antracita,egger-reproducciones-madera,23,1366406,C PVC H3190ST19 Finel  Metal.antrac 23x2mm 1366406,3408.53
H3192 ST19,Fineline Metallic Marron,egger-reproducciones-madera,23,1380251,C PVC H3192ST19 Finel Met cafe 23x0.40mm 1380251,625.49
H3331 ST10,Roble de Nebraska Natural,egger-reproducciones-madera,23,239549,C PVC H3331ST10 R Nebraska nat 23x2mm 239549,2921.73
H3332 ST10,Roble de Nebraska Gris,egger-reproducciones-madera,23,226002,C PVC H3332ST10 R Nebraska gris 23x2mm226002,2921.73
H3335 ST28,Roble Gladstone Blanco,egger-reproducciones-madera,23,1193054,C PVC H3335ST28 R Gladstone bco. 23x0.80mm 1193054,1956.29
H3335 ST28,Roble Gladstone Blanco,egger-reproducciones-madera,43,1380201,C PVC H3335ST28 R Gladstone bco 43x0.80mm,5546.66
H3349 ST19,Roble Kaiserberg,egger-reproducciones-madera,23,1380246,C PVC H3349ST19 R Kaisersberg 23x2mm 1380246,3408.53
H3349 ST19,Roble Kaiserberg,egger-reproducciones-madera,43,1380239,C PVC H3349ST19 R Kaisersberg 43x2mm (1380239),10325
H3404 ST38,Alerce Marron,egger-reproducciones-madera,23,9002201197164,C PVC H3404ST38 Alerce marron 23X0.80mm 1197164,1956.29
H3406 ST38,Alerce Antracita,egger-reproducciones-madera,23,1197163,C PVC H3406ST38 Alerce Antr 23x0.80mm 1197163,1956.29
H3406 ST38,Alerce Antracita,egger-reproducciones-madera,43,1380392,C PVC H3406ST38 Alerce Antr 43x0.80mm 1380392,5546.66
H3430 ST22,Pino Aland Blanco,egger-reproducciones-madera,23,1184930,C PVC H3430ST22 Pino Aland bco 23x2mm 1184930,3408.53
H3451 ST22,Fleetwood Champagne,egger-reproducciones-madera,23,1197467,C PVC H3451ST22 Fleetwood champan 23x2mm 1197467,3971.73
H3451 ST22,Fleetwood Champagne,egger-reproducciones-madera,43,1380408,C PVC H3451ST22 Fleetwood champan 43x2mm1380408,13127.1
H3730 ST10,Hickory Natural,egger-reproducciones-madera,23,1122422,C PVC H3730ST10 Hickory nat 23x2mm 1786462,3097.9
U114 ST9,Amarillo Girasol,egger-unicolores,43,1381418,C PVC U114ST9 A girasol 43x2mm 1381418,6914.92
U131 ST9,Amarillo Limon,egger-unicolores,23,1198907,C PVC U131ST9 A Limon 23x0.40mm 1198907,564.94
U325 ST9,Rosa Antiguo,egger-unicolores,23,1381498,C PVC U325ST9 Rosa antiguo 23x0.40mm 1707945,564.94
U504 ST9,Azul Cosmico,egger-unicolores,23,1191881,C PVC U504ST9 Azul cosmico 23x2mm 1786519,2641.04
U504 ST9,Azul Cosmico,egger-unicolores,43,1381233,C PVC U504ST9 Azul cosmico 43x2mm 1381233,6914.92
U727 ST9,Gris Arcilla,egger-unicolores,23,971232,C PVC U727ST9 G Arcilla 23x2mm 971232,2641.04
U732 PG,Gris Macadan,egger-unicolores,23,1196747,C PVC U732PG G Macadan 23x1mm 1196747,3279.74
U732 PM,Gris Macadan,egger-unicolores,23,9002201189876,C PVC U732PM G Macadan Mate 23X1mm 1189876,3279.74
U732 ST9,Gris Macadan,egger-unicolores,23,255100,C PVC U732ST9 G Macadan 23x2mm 255100,2641.04
U732 ST9,Gris Macadan,egger-unicolores,43,1381310,C PVC U732ST9 G Macadan 43x2mm 1381310,6983.53
U763 ST9,Gris Perla,egger-unicolores,23,1197438,C PVC U763ST9 G Perla 23x2mm 1197438,2641.04
U763 ST9,Gris Perla,egger-unicolores,43,1381916,C PVC U763ST9 G Perla 43x2mm 1381916,6914.92
U767 ST9,Gris Cubanita,egger-unicolores,23,1197437,C PVC U767ST9 G Cubanita 23x2mm 1197437,2641.04
U767 ST9,Gris Cubanita,egger-unicolores,43,1381910,C PVC U767ST9 G Cubanita 43x2mm 1381910,6917.7
U775 ST9,Gris Bruma,egger-unicolores,23,1191528,C PVC U775ST9 G Bruma 23x0.40mm 1191528,564.94
U775 ST9,Gris Bruma,egger-unicolores,43,1381905,C PVC U775ST9 G Bruma 43x2mm 1381905,6983.53
U963 ST9,Gris Sombra,egger-unicolores,23,255096,C PVC U963ST9 G Sombra 23x2mm 255096,2641.04
U999 ST19,Negro,egger-unicolores,23,1382016,C PVC U999ST19 Negro V 23x2mm 1786565,3097.88
U999 ST9,Negro,egger-unicolores,23,1239492,C PVC U999ST9 Negro 23x2mm 1239492,2641.04
W1100 ST9,Blanco Alpino,egger-blancos,23,977894,C PVC W1100ST9 B Alpino 23x2mm 977894,2921.73